,khipu_id,kfg_name,okr_name,original_name,legal_filename,nickname,museum_name,museum_num,museum_description,region,provenance,num_cord_clusters,mean_cords_per_cluster,max_subsidiary_branches,num_top_cord_double_sum_clusters,num_top_cord_sum_clusters,num_banded_clusters,num_seriated_clusters,num_decreasing_clusters,benford_match,hierarchical_cluster_pos,num_canuto_cords,num_cords,recto_cords,verso_cords,r_ratio,v_ratio,rv_cords,num_pendant_cords,num_nonzero_top_pendant_cords,num_top_cords,num_subsidiary_cords,num_s_cords,num_z_cords,mean_cord_value,fanout_ratio,num_total_cords,num_ascher_colors,knot_cluster_count,knot_count,mean_knots_per_cord,num_s_knots,num_z_knots,percent_s_knots,percent_z_knots,notes,pcord_notes
357,1000292,UR113,KH0349,UR113,UR113,Valhalla,"Museum of Worldculture, Goteborg, Sweden",1931.37.0001,,Unknown,Nazca,31,27.93548387096774,4,0,0,12,19,12,0.9053218767234921,219,2,866,330,3,99.0,1.0,333,332,0,0,534,858,0,15,2.608433734939759,866,54,377,1311,1.5138568129330254,468,843,0.35697940503432496,0.6430205949656751,,
324,1000344,UR1084,KH0097,AS084,UR1084,,"Musee Quai Branly, Paris, France",71.1930.19.470,,Unknown,Unknown,26,12.26923076923077,1,0,0,1,25,0,0.8408534967658498,179,0,319,58,241,19.0,81.0,299,319,0,0,0,298,1,125,1.0,319,13,503,1084,3.3981191222570533,594,476,0.5479704797047971,0.43911439114391143,"1.   The finishing knot on P10 is knotted around P11.  Thus, the end of P10 is tied to P11 at 5.5 cm. from the bottom of P11.<br/>2.   Small spaces on the main cord appear between some adjacent pendants.  The darkened color of the main cord at those points leads us to assume that a pendant was present but is now missing.  These hypothetical pendants are included in the listing but designated as missing.<br/>3.   By spacing, the quipu is separated into 25 groups but ends with a break in the main cord at the middle of the 25th group.  A marker on the main cord separates the first 15 groups from the last 10 groups.<br/>4.   At first glance, the groups seem to vary in size and color pattern.  However, when viewed as groups of 15 pendants with some positions non-existant in each group, the colors and values are repetitions.  The 25 groups of 15 pendants have been arranged in a rectangular table (see Table 1).  A blank means the position is non-existant, an M is a missing pendant, and a ? indicates that the pendant is broken, so the value is unknown.  A double line has been used to mark a change in color.  Where there is no color change, but just a color anomaly, the value has been circled.  Observe from the table that although similarities remain, there are decided differences between part 1 (groups 1-15) and part 2 (groups 16-26).  Also, within part 1, there are several changes after the 15th group and after the 12th group.",
31,1000361,AS050,KH0061,AS050,AS050,,"owner Ana Maria Soldi, Lima, Peru",1,,Unknown,Unknown,17,21.764705882352942,2,0,0,0,17,6,0.33582995267843263,236,0,370,0,0,0.0,0.0,0,313,0,0,57,0,0,80,1.182108626198083,370,14,196,575,1.554054054054054,0,0,0.0,0.0,"1.   By spacing and color patterning, the quipu is separated into 3 parts: part 1 is 3 groups, and parts 2 and 3 are 7 groups each.<br/>2.  Many values are uncertain due to breakage.  However, we hypothesize that, position by position, values in group 1 of part 1 are related to the sums of values in groups 2 and 3 while values in groups 2 and 3 are related to sums of values in parts 2 and 3 respectively.",
286,1000273,UR087,KH0323,UR087,UR087,,Museo Temple Radicati,6,,Unknown,Santa,56,6.607142857142857,2,3,2,43,12,10,0.8547554221587818,580,0,370,310,0,100.0,0.0,310,306,9,13,64,366,4,3,1.2091503267973855,370,21,309,377,1.018918918918919,40,336,0.10610079575596817,0.8912466843501327,"1.  Top cords.  Top cords are fastened through the pendant attachments (diagram on field notes).  The doubled end of the top cord is passed through the half-hitches of the pendants; the free end of the top cord is then passed through its doubled end.  In the final configuration, the doubled end of the top cord may be pointing towards the left  (dbld end went through from L to R) or right (dbld end went through from R to L).  These are designated, respectively, R and L, the R to be distinguished from the R meaning recto. <br/>2.  Markers.  Markers on this khipu are short lengths of cotton cord, same construction as pendants, attached the same way as pendants, but pointing upwards in the same direction as the top cords.","The cord has three components:  2 of GG -AB, one of KB - AB.  These three are plied together to create the final cord.  The borla is of red and yellow camelid, approx. 2.0 cm long. From 2.0 to 3.5 the primary cord is wrapped with thread. <br/>The cord has three components:  2 of GG -AB, one of KB - AB.  These three are plied together to create the final cord.  The borla is of red and yellow camelid, approx. 2.0 cm long. From 2.0 to 3.5 the primary cord is wrapped with thread."
544,1000623,UR278,KH0517,UR278,UR278,,Proyecto Incahuasi,13833-2014,,Unknown,Incahuasi,37,8.054054054054054,1,0,0,30,7,7,0.9262188789771811,78,8,298,298,0,100.0,0.0,298,298,0,0,0,298,0,229,1.0,298,4,806,1901,6.379194630872483,221,1680,0.1162546028406102,0.8837453971593898,,
533,1000611,UR269,KH0506,UR269,UR269,,Proyecto Incahuasi,13828,,Unknown,Incahuasi,107,2.7009345794392523,1,0,0,31,76,47,0.5444713024206257,20,0,289,0,289,0.0,100.0,289,289,0,0,0,289,0,759,1.0,289,9,503,1439,4.97923875432526,91,1346,0.06323835997220292,0.935371785962474,,
342,1000053,UR1109,KH0123,AS109,UR1109,,"Museum für Völkerkunde, Berlin",VA47069,,Unknown,Ica,69,4.159420289855072,1,0,0,1,68,11,0.8166368302820715,113,0,287,0,0,0.0,0.0,0,287,0,0,0,287,0,97,1.0,287,10,374,742,2.5853658536585367,0,740,0.0,0.9973045822102425,"For a listing of other khipus with the provenance ""Ica"" see AS100.",
210,1000020,UR003,KH0239,UR003,UR003,,"Centro Mallqui, Leymebamba, Amazonas",CMA-419/LC1-048 TEQ,,Chachapoyas,Leymebamba,15,50.53333333333333,5,0,0,4,11,2,0.6459780334040388,523,0,758,55,220,20.0,80.0,275,281,0,0,477,749,1,1,2.697508896797153,758,36,140,492,0.6490765171503958,120,365,0.24390243902439024,0.741869918699187,"1.  Und interrupcion por descomposicion del cordon principal; descartamos una cantidad de pendientes (con subsidiaries) por su fragilidad; empezamos de nuevo en un punto artificial (con se195177al nuevo de hilo sintetico (verde-ca195177a) amanado en el cordon principal<br/>2. NOTA - tarece que hay variaci195179n en la direcci195179n de anadar los nudos finales (unos en Z, ofres en S).  Yo no ho anotado las direcci195179ns de les finales en las anotaciones siguientes.<br/>3.  Por falia del tiemp, termin195169 la anotaci195179n de nudos en este punto.","<br/>1. (Beginning:) $ Nudo de comienzo (cordon doblado) 2.  Break at M1.  Several cords have been sewn onto the panel at break.  I have omitted these cords although their color, etc., is similar to other on this khipu (-GU, rec. by AA)"
351,1000077,UR1121,KH0135,AS121,UR1121,,"Museum für Völkerkunde, Berlin",VA42538,,Unknown,Pachacamac,80,3.5125,2,0,0,10,70,0,0.0365182891667275,406,0,281,0,0,0.0,0.0,0,280,0,0,1,281,0,0,1.0035714285714286,281,3,23,25,0.08896797153024912,0,25,0.0,1.0,"For a complete listing of ""Pachacamac"" quipus, see AS097.",
71,1000085,AS128,KH0143,AS128,AS128,,"Museum für Völkerkunde, Berlin",VA63042(B),,Unknown,Nazca,23,12.565217391304348,2,0,0,19,4,5,0.37324932930731913,249,0,289,0,0,0.0,0.0,0,269,0,0,20,0,0,41,1.0743494423791822,289,16,172,299,1.0346020761245676,0,0,0.0,0.0,"See AS127 for a listing of all ""Nazca"" khipu.<br/>AS127 and AS128 are loosely tied together.",
227,1000045,UR022,KH0258,UR022,UR022,Washed Khipu,"Centro Mallqui, Leymebamba, Amazonas",INC-109,,Chachapoyas,Leymebamba,31,10.129032258064516,2,0,0,26,5,10,0.6390373316025671,64,6,314,159,102,61.0,39.0,261,266,0,0,48,311,0,21,1.1804511278195489,314,7,291,620,1.9745222929936306,2,618,0.0032258064516129032,0.9967741935483871,"Khipu de algodon - LAVADO<br/>2. La madera consideramos como el cordon principal (25.50 cm largo tota).  (Drawing in notes.)<br/>4. Los huecos en lado B suman 23; cada hueco en Lado B (1 ...23) tiene un mergen de error de 0.2 cm con el mismo numerado nueco en lado A (vea las medidas en nota #2)<br/>4. A. La unica diferencia es la a195177adidura de una pendiente anillada entre el hueco B23 y el hueco en el Lado F (F1)<br/>5.  Como en el caso de Lado A, los pendientes anillados del Lado B salen de los huecos impares (eso es: 1-3, 3-5, etc)<br/>6. Los huecos en Lado C suman 23; cada hueco en Lado C (1 ... 23) tiene un margen de error de 0.2 cm con el mismo numerado hueco en Lado A (vea las unedidas para Lado A en nota #2).<br/>7. Lado C PA1-1 tiene una manera especial de dividirse para formar su ""subsidiario"".  Los hilos doblados qu componen la pendiente, se divider (como palqa) en dos partes.  Los dos partes comparten un tercer hilo.  (drawing)<br/>8. Hay huellos (en la modera) de des hilos que saliar del hueco C 23 a juntar con hilos que se encaentrarian - en la manera de un pendiente anillado - con hilos en Lado F.<br/>Measurements in notes as well.",<br/>See notes for construction of primary cord within wooden bar.
586,6000028,MM001,MM001,MM001,MM001,none,Landesmuseum Hannover,Grü-209,,Huacho,Huacho?,21,14.571428571428571,3,0,0,0,21,8,0.7273529251997135,196,0,306,0,261,0.0,100.0,261,264,0,0,42,303,0,32,1.1666666666666667,308,23,243,497,1.6241830065359477,77,420,0.15492957746478872,0.8450704225352113,,
465,1000509,UR198,KH0436,UR198,UR198,,"Ethnologisches Museum, Berlin, Germany",63039,,"South Coast, Peru","Santa Clara, Nazca",40,9.225,3,0,0,21,19,1,0.8734559156689942,493,7,369,8,252,3.0,97.0,260,257,0,0,112,368,0,3,1.4357976653696498,369,18,248,365,0.989159891598916,226,138,0.6191780821917808,0.3780821917808219,,
45,1000368,AS071,KH0084,AS071,AS071,,"owner Percy Dauelsberg, Arica, Chile",#3,,Unknown,Unknown,25,16.16,4,0,0,2,23,2,0.36992433592523366,387,0,404,0,0,0.0,0.0,0,252,0,0,152,0,0,0,1.6031746031746033,404,33,20,164,0.40594059405940597,0,0,0.0,0.0,"1. Construction note: Marker M1 is a cord of 1.5 cm. tied to the main cord. It is color KB and is wrapped with cord colored SY. (There is a diagram on the notes)<br/>2. *,** Construction note: Pendant cords of one color have been threaded with cord of another color. See AS69, observation #6, for a complete description of the color designations.<br/>3^1. Subsidiary cords 16s2s2, 31s1 and 32s3 each end in small loop.<br/>4^2. The knot on P24s1 is threaded with W.<br/>5. AS69, AS70, and AS71 were excavated by thier owner, Percy Dauelsberg, in 1965. For a discussion of the collection see AS69.<br/>A marker on the main cord separates the quipu into 2 parts.<br/>nan<br/>nan",
246,1000238,UR049,KH0279,UR049,UR049,,Museo Larco,#5,,Unknown,Unknown,29,11.241379310344827,4,0,0,20,9,6,0.6288867552787842,174,1,326,236,1,100.0,0.0,237,238,0,0,88,315,0,69,1.3697478991596639,326,28,279,856,2.625766871165644,540,315,0.6308411214953271,0.3679906542056075,1.) Pendant cord thickness ranges from 0.10 to 0.18.,<br/>almost completely broken in the space between groups 19 and 20 and broken in the space between groups 27 and 28
526,1000604,UR263,KH0499,UR263,UR263,,Proyecto Incahuasi,12704-2014,,Unknown,Incahuasi,60,3.933333333333333,1,0,0,8,52,6,0.4460604401459798,477,1,236,128,108,54.0,46.0,236,236,0,0,0,236,0,1,1.0,236,12,131,132,0.559322033898305,131,0,0.9924242424242424,0.0,,
565,6000007,AS008,AS008,AS008,AS008,,"Pitt Rivers Museum, University of Oxford",VIII. 502,,Unknown,Unknown,46,5.391304347826087,2,0,0,5,41,7,0.8113415895303188,269,0,248,0,0,0.0,0.0,0,225,0,0,23,0,0,351,1.1066666666666667,249,14,401,1144,4.612903225806452,0,0,0.0,0.0,,
386,1000147,UR1175,KH0192,AS175,UR1175,,"Museum für Völkerkunde, Berlin",VA42518,,Unknown,Pachacamac,45,7.511111111111111,4,0,0,0,45,19,0.8414868579315272,110,0,338,0,0,0.0,0.0,0,224,0,0,114,338,0,35,1.5089285714285714,338,9,285,913,2.701183431952663,27,885,0.029572836801752465,0.9693318729463308,"See AS097 for all Pachacamac khipus.<br/>1. This is one of several quipus acquired by the Museum in 1907 with provenance Pachacamac. For a list of them, see AS97.<br/>2. By spacing, the quipu is separated into 45 groups of 5 pendants each. There is a larger space after every 3rd group and a still larger space between the 21st and 22nd groups and the 24th and 25th groups.  Thus, the quipu is in 3 parts: part 1 is 7 sets of 3 groups each; part 2 is 1 set of 3 groups; and part 3 is 7 sets of 3 groups.<br/>3. All groups in part 1 have the same color pattern: W(with a W subsidiary); LB (with an LB subsidiary); YG; YB; YB:0G.  Groups in parts 2 and 3 have the same pattern for the first 3 pendant positions and then vary in one or both of the last 2 positions.  Calling the colors in the part 1 pattern C1-C5, the color patterns are summarized in Table 1. (See table in notes)<br/>4. In parts 1 and 3, many values are repeated in the same position in consecutive groups or in the same position 2 groups later. The former can be represented as Psub ij = Psub(i+1,j) and the latter as Psub ij = P sub(i+2,j). In part 1, these hold in 20 and 12 places respectively; in part 2 in no places; and in part 3 in 27 and 18 places.<br/>5. The values in part 2 are related to the sums of values in part 3. Position by position, values in group 1 of part 2 are related to the sums of values in the first groups in each of the 7 sets in part 3; group 2 values are related to sums of values in the second groups of each of the sets; and group 3 values to the sums of values of the third group. ( see equation)",<br/>Main cord is Br+W and Z-ply
292,1000321,UR093,KH0329,UR093,UR093,Calliope,Museo Temple Radicati,s/n,none,Unknown,Unknown,12,102.25,3,0,0,0,12,8,0.21081685373179537,481,0,1227,406,807,33.0,67.0,1213,223,0,0,1004,1224,0,0,5.502242152466367,1227,82,171,361,0.29421352893235536,183,178,0.5069252077562327,0.4930747922437673,,
382,1000140,UR1166,KH0183,UR1166,UR1166,,"Museum für Völkerkunde, Berlin",VA47079,,Unknown,Ica,21,17.238095238095237,3,0,0,1,20,2,0.4671535075716102,181,2,362,0,0,0.0,0.0,0,222,0,0,140,362,0,6,1.6306306306306306,362,20,99,361,0.9972375690607734,13,345,0.036011080332409975,0.9556786703601108,See AS100 for all Ica khipu,
222,1000018,UR016,KH0252,UR016,UR016,,"Centro Mallqui, Leymebamba, Amazonas",CMA-373/LC2-002,,Chachapoyas,Leymebamba,7,63.142857142857146,3,0,0,5,2,0,0.7853604994927917,544,0,442,220,0,100.0,0.0,220,222,0,0,220,440,0,6,1.990990990990991,442,17,220,528,1.1945701357466063,280,247,0.5303030303030303,0.4678030303030303,El se195177al en el cordon pricipal entre 44.5 - 46.0 se consiste de un hilo (z/s) alrededer del cor. prin.,
387,1000148,UR1176,KH0193,AS176,UR1176,,"Museum für Völkerkunde, Berlin",VA37859(A),,Unknown,Nazca,26,11.653846153846153,3,0,0,13,13,3,0.5017491338220063,234,1,303,0,0,0.0,0.0,0,219,0,0,84,302,0,22,1.3835616438356164,303,12,179,468,1.5445544554455446,433,35,0.9252136752136753,0.07478632478632478,"1.* A detached fragment of 9.0 cm. stored with the quipu has been assumed to be part of P5s3.<br/>2. AS127, AS128, and AS176 were acquired by the Museum in 1933 with provenance Nazca.<br/>3. By color, the quipu is separated in 25 groups. The first group is 12 pendants. Then there are 24 groups alternating in color pattern.  Basically the pattern is a group of 8 pendants color W, followed by a group of 9 pendants colored RB, 7 DB, RB. (The exceptions to the pattern are: groups 3,5 and 17 each have an additional pendant between positions 1 and 2; groups 5, 7 and 9 each have an additional pendant between positions 8 and 9; in groups 7 and 9, position 4 is non-existant; and in group 7, position 2 is also non-existant.) Starting with group 4, all groups of W pendants are of value 0 (or blank) and, in the alternate groups, all values in positions 1, 2 and 4 are 0 (or blank).<br/>4. a) The values in group 3, position by position, are the sums of the values in corresponding positions in groups 7, 9, 11, 13, 15, while the values in group 5 are the sums of the values in groups 17, 19, 21, 23, 25. These values include all the subsidiary values on each pendant.  The sums are exact (or off by at most 2 in one digit) for only 14 of the 18 positions.",
363,1000287,UR114,KH0350,UR114,UR114,,"Museum of Worldculture, Goteborg, Sweden",37.31.1,,Unknown,Nazca,16,16.25,2,0,0,0,15,7,0.352052066961817,494,0,260,18,197,8.0,92.0,215,219,0,0,41,248,0,2,1.187214611872146,260,39,89,132,0.5076923076923077,101,30,0.7651515151515151,0.22727272727272727,,"<br/>Some pendants have colored threads introduced during the plying, producing a change of color down the length of the string.  This is not a spike.  The threads are camelid with vivid red."
464,1000508,UR197,KH0435,UR197,UR197,,"Ethnologisches Museum, Berlin, Germany",42523,,"Central Coast, Peru",Pachacamac,21,11.238095238095237,2,0,0,3,17,2,0.750544147283168,87,0,236,211,0,100.0,0.0,211,216,0,0,20,229,0,100,1.0925925925925926,236,28,201,573,2.4279661016949152,53,520,0.0924956369982548,0.9075043630017452,,
580,6000022,KH0081,KH0081,AS068,KH0081,,"Museo Nac., Pueblo Libre",1745,,Unknown,"Monte de Cacatilla, Valle de Nazca",36,6.0,2,0,0,2,34,5,0.9665353964885051,268,0,216,215,0,100.0,0.0,215,215,0,0,1,0,216,245,1.0046511627906978,216,11,424,1003,4.643518518518518,1003,0,1.0,0.0,,
527,1000605,UR264,KH0500,UR264,UR264,,Proyecto Incahuasi,12703-2014,,Unknown,Incahuasi,43,4.906976744186046,1,0,0,3,40,4,0.7224660753524682,144,2,211,211,0,100.0,0.0,211,211,0,0,0,211,0,22,1.0,211,20,229,431,2.042654028436019,105,326,0.24361948955916474,0.7563805104408353,,
121,1000029,AS207A,KH0225,AS207A,AS207A,,"Museum of Science, Buffalo, New York",C14459,,Unknown,Unknown,43,5.883720930232558,3,0,0,32,9,4,0.6279619904335837,429,0,253,0,0,0.0,0.0,0,211,0,10,42,0,0,5,1.1990521327014219,253,17,177,243,0.9604743083003953,0,0,0.0,0.0,(Notes 1-7 of the Aschers entered with pendants they refered to.)<br/>Additional notes available pgs 62-65 of Ascher and Ascher 1987,<br/>AS207B and AS207C are attached to the primary cord in the gap of 40.5-43.5 cm (as indicated by the knots).
288,1000275,UR089,KH0325,UR089,UR089,,Museo Temple Radicati,5,,Unknown,Santa,9,32.0,2,0,0,6,3,0,0.8048446103322339,204,0,288,0,207,0.0,100.0,207,206,0,0,82,286,1,9,1.3980582524271845,288,37,214,416,1.4444444444444444,0,413,0.0,0.9927884615384616,,cord has two components. <br/>cord has two components.
506,1000547,UR242,KH0478,UR242,UR242,,"Ethnologisches Museum, Berlin, Germany",VA42607(A),,"South Coast, Peru",Ica,20,11.65,2,0,0,12,8,5,0.9230825985687714,208,0,233,80,125,39.0,61.0,205,206,0,0,27,232,0,9,1.1310679611650485,233,18,217,329,1.4120171673819744,172,156,0.5227963525835866,0.47416413373860183,,
479,1000523,UR212,KH0450,UR212,UR212,,"Ethnologisches Museum, Berlin, Germany",VA42508(A),,"Central Coast, Peru",Pachacamac,16,12.25,2,0,0,1,15,5,0.8787093968200962,146,1,196,194,0,100.0,0.0,194,195,0,0,1,196,0,33,1.005128205128205,196,7,265,445,2.270408163265306,128,317,0.2876404494382023,0.7123595505617978,,
621,6000063,QU014,QU014,QU14,QU014,,Dallas Museum of Art,B399/T41299.34,,"Inka, Late Horizon",Unknown,46,5.391304347826087,2,0,2,37,9,4,0.6125466770869914,361,0,248,185,45,80.0,20.0,230,192,6,16,56,248,0,37,1.2916666666666667,248,15,184,466,1.8790322580645162,448,18,0.9613733905579399,0.03862660944206009,,
494,1000539,UR229,KH0466,UR229,UR229,,"Ethnologisches Museum, Berlin, Germany",VA 47092,,"South Coast, Peru",Ica,18,10.777777777777779,2,0,0,0,18,0,0.4363008086487594,156,1,194,189,0,100.0,0.0,189,189,0,0,5,194,0,16,1.0264550264550265,194,20,176,306,1.577319587628866,15,290,0.049019607843137254,0.9477124183006536,,"Termination End listed as ""wrapped"""
571,6000013,HP055,KH0586,HP055,HP055,,"Museo Nacional de Arqueologia, Anthropologia e Historia del Peru",MNAAHP 29934,,Unknown,unknown,31,6.096774193548387,1,0,0,15,16,2,0.885126062229364,85,0,189,189,0,100.0,0.0,189,189,0,0,0,189,0,128,1.0,189,13,316,708,3.746031746031746,0,707,0.0,0.998587570621469,,
